x,y
13.172338090010978, 60.877513711151735
31.833150384193196, 62.52285191956124
49.39626783754116, 66.91042047531992
100.98792535675083, 61.9744058500914
122.94182217343579, 63.07129798903107
145.993413830955, 71.84643510054845
170.14270032930845, 65.81352833638024
212.95279912184412, 58.68372943327239
246.98133918770584, 57.038391224862885
281.0098792535675, 55.94149908592321
321.6245883644347, 55.94149908592321
357.8485181119649, 61.9744058500914
390.77936333699235, 75.68555758683729
485.1811196487377, 91.04204753199268
521.4050493962679, 55.39305301645338
564.21514818880354, 50.457038391224856
602.6344676180022, 58.68372943327239
644.3468715697037, 49.36014625228519
690.450054884742, 80.07312614259597
769.4840834248079, 62.52285191956124
845.225027442371, 51.55393053016453
918.7705817782657, 39.48811700182815
996.7069154774973, 49.36014625228519